,MODULE,Coursework,Women Instructors,Applied_HESA,ACM-1.5,ACM-2.1,ACM-2.4,ACM-3.2,ACM-3.4,ACM-3.5,ACM-3.9,ACM-5.1,ACM-5.3,ACM-6.1
0,COMP3467,0.0,0.25,0,0,0,0,0,0,0,0,0,0,1
1,COMP3477,1.0,1.0,0,0,0,0,0,0,0,0,0,1,0
2,COMP3487,1.0,0.0,1,0,0,0,0,0,0,0,0,1,0
3,COMP3491,0.5,0.0,0,0,1,1,0,0,0,0,0,1,0
4,COMP3507,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0
5,COMP3517,1.0,0.0,1,0,0,1,0,0,0,0,0,1,0
6,COMP3527,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
7,COMP3547,1.0,0.0,0,0,0,0,1,0,0,0,0,0,0
8,COMP3557,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0
9,COMP3647,1.0,0.25,0,0,0,0,1,0,0,0,0,0,0
10,COMP3567,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0
11,COMP3577,1.0,0.5,0,0,0,0,0,1,0,0,0,1,0
12,COMP3587,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0
13,COMP3621,1.0,0.0,1,1,0,0,0,0,0,0,0,0,0
14,COMP3607,1.0,1.0,1,0,0,0,1,0,0,0,0,1,0
15,COMP3657,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0
16,COMP3617,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0
17,COMP4087,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0
18,COMP4097,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0
19,COMP4107,1.0,0.0,0,0,0,0,1,0,0,0,0,0,0
20,COMP4117,1.0,0.5,1,0,0,0,0,0,0,0,0,1,1
21,COMP4137,1.0,0.0,1,0,1,0,0,0,0,1,0,0,0
22,COMP4157,1.0,0.75,1,0,0,1,1,0,0,0,0,0,0
23,COMP4167,1.0,0.25,1,0,0,0,1,0,0,0,0,1,0
24,COMP4177,1.0,0.0,0,0,0,0,0,0,1,0,0,1,0
25,COMP4187,1.0,0.5,0,0,0,0,0,0,1,0,0,1,0
26,COMP4197,0.0,0.0,0,0,0,0,0,1,0,0,0,1,0
27,COMP4127,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0
